id,name,address,price,type1,type2,type3,type4,region,avg_price,simp_type,Districts,lon,lat
5551,Chao Inn,"Shop 1, 5/F, apm Millennium City 5, 418 Kwun Tong Road, Kwun Tong",$101-$200,Chiu Chow,Stir-Fry,,,Kwun Tong,300,Chinese,Kwun Tong,114.2245933,22.312564
5552,Parc Antique & Lifestyle Parc,"Shop 10B2, 60 Hung To Road, Kwun Tong",$101-$200,French,Western,International,Cake,Kwun Tong,300,Western,Kwun Tong,114.2226536,22.309629
5553,BriKetenia,"Shop B1, 1/F, TG Place, 10 Shing Yip Street, Kwun Tong",$101-$200,French,Western Restaurant,,,Kwun Tong,300,Western,Kwun Tong,114.2260031,22.310668
5554,Genius,"4/F, South Asia Commercial Centre, 64 Tsun Yip Street, Kwun Tong",$201-$400,French,Mediterranean,Wine/Cigar,Seafood,Kwun Tong,150,Western,Kwun Tong,114.22346,22.3115304
5555,Sweetheart Garden Restaurant,"2/F, Eplaza, 7 Shing Yip Street, Kwun Tong",$51-$100,Hong Kong Style,Steak House,Western Restaurant,,Kwun Tong,75,Hong Kong,Kwun Tong,114.226281,22.310875
5556,e-kafe,"Room D, 3/F, Good Luck Industrial Building, 105 How Ming Street, Kwun Tong",$101-$200,Western,Western Restaurant,,,Kwun Tong,300,Western,Kwun Tong,114.2240525,22.3122276
5557,Lei Garden,"Shop 8, apm Millennium City 5, 418 Kwun Tong Road, Kwun Tong",$201-$400,Guangdong,Dim Sum,Dim Sum Restaurant,Business Dining,Kwun Tong,150,Hong Kong,Kwun Tong,114.2245933,22.312564
5558,HOWE Cafe,"11/F, Ming Sang Industrial Building, 19 Hing Yip Street, Kwun Tong",$51-$100,Western,BBQ,Coffee Shop,Outdoor,Kwun Tong,75,Western,Kwun Tong,114.2254969,22.3091999
5559,Mil,"Shop G45, G/F, E Plaza, 7 Shing Yip Street, Kwun Tong",Below $50,Taiwan,Taiwanese Drink,Takeaway,,Kwun Tong,40,Chinese,Kwun Tong,114.226281,22.310875
5560,Heichinrou,"6/F, Millennium City Tower Phase 6, 392 Kwun Tong Road, Kwun Tong",$101-$200,Guangdong,Seafood,Fine Dried Seafood,Dim Sum,Kwun Tong,300,Hong Kong,Kwun Tong,114.220115,22.3144679
5561,Itacho Sushi,"UG, apm Millennium City 5, 418 Kwun Tong Road, Kwun Tong",$101-$200,Japanese,Sushi/Sashimi,Sushi Bar,,Kwun Tong,300,Asian,Kwun Tong,114.2245933,22.312564
5562,Gozen EDO Japanese Restaurant,"8/F, One Pacific Centre, 414 Kwun Tong Road, Kwun Tong, Kwun Tong",$201-$400,Japanese,All-you-can-eat,,,Kwun Tong,150,Asian,Kwun Tong,114.2245276,22.3125562
5563,Starbucks Coffee,"Shop 15, 2/F, apm Millennium City 5, 418 Kwun Tong Road, Kwun Tong",Below $50,American,Salad,Coffee Shop,Casual Drink,Kwun Tong,40,Western,Kwun Tong,114.2245933,22.312564
5564,Pepper Lunch,"Shop 202, 2/F, One Pacific Centre, 414 Kwun Tong Road, Kwun Tong",$51-$100,Japanese,Teppanyaki,,,Kwun Tong,75,Asian,Kwun Tong,114.2245276,22.3125562
5565,McDonald's,"ShopA,G/F,Camel Paint Building,1Hing Yip Street, Kwun Tong",Below $50,American,Hamburger,Fast Food,,Kwun Tong,40,Western,Kwun Tong,114.2220177,22.3108425
5566,Toast Box,"Shop 18, 4/F,  apm Millennium City 5, 418 Kwun Tong Road, Kwun Tong",$51-$100,Singaporean,Bakery,Coffee Shop,,Kwun Tong,75,Asian,Kwun Tong,114.2245933,22.312564
5567,Express Bar by Lassana,"Shop 2, 1/F, Manulife Financial Centre, 223 Wai Yip Street, Kwun Tong",Below $50,French,Coffee Shop,,,Kwun Tong,40,Western,Kwun Tong,114.224093,22.30729
5568,Otanri Japanese restaurant,"Shop A, B, C Selwyn Factory Building, 404 Kuwn Tong Road, Kwun Tong",$101-$200,Japanese,Sushi/Sashimi,Sushi Bar,,Kwun Tong,300,Asian,Kwun Tong,114.2284349,22.3117249
5569,WBL Catering Group Limted,"Shop 1-2, 2/F, E Plaza, 7 Shing Yip Street, Kwun Tong",$51-$100,Shanghai,Ramen,Wonton/Dumpling,Stir-Fry,Kwun Tong,75,Chinese,Kwun Tong,114.226281,22.310875
5570,Shabu SEN,"Shop 205, 2/F, One Pacific Centre, 414 Kwun Tong Road, Kwun Tong",$101-$200,Japanese,Hot Pot,,,Kwun Tong,300,Asian,Kwun Tong,114.2245276,22.3125562
5571,cha FOR TEA,"Unit KT-004, Shop LG-1&LG-3;, LG/F., APM,418 Kwun Tong Road, Kwun Tong",Below $50,Taiwan,Taiwanese Drink,,,Kwun Tong,40,Chinese,Kwun Tong,NA,NA
5572,Cheung Lung Restaurant,"3/F, One Pacific Centre, 414 Kwun Tong Road, Kwun Tong",Below $50,Shanghai,Wonton/Dumpling,Stir-Fry,,Kwun Tong,40,Chinese,Kwun Tong,114.2245276,22.3125562
5573,Honjin,"Shop 23, 4/F, apm Millennium City 5, 418 Kwun Tong Road, Kwun Tong",$101-$200,Japanese,Roast Meat,All-you-can-eat,,Kwun Tong,300,Asian,Kwun Tong,114.2245933,22.312564
5574,SatisFactory,"Unit 3, 1/F, Shing Yip Industrial Bldg, 19-21 Shing Yip Street, Kwun Tong",$201-$400,International,Seafood,Stir-Fry,Private Kitchen,Kwun Tong,150,International,Kwun Tong,114.2271209,22.3100594
5575,DONDONYA,"Shop L6-3b, Level 6, apm Millennium City 5, 418 Kwun Tong Road, Kwun Tong",$51-$100,Japanese,Sushi/Sashimi,Salad,,Kwun Tong,75,Asian,Kwun Tong,114.2245933,22.312564
5576,Hon Wo Korean Restaurant,"9/F, One Pacific Centre, 414 Kwun Tong Road, Kwun Tong",$101-$200,Korean,Roast Meat,,,Kwun Tong,300,Asian,Kwun Tong,114.2245276,22.3125562
5577,Big Brother Biu's Seafood Restaurant,"G/F, 4P & 4Q Yee On Street, Kwun Tong",$101-$200,Guangdong,Seafood,Stir-Fry,Group Dining,Kwun Tong,300,Hong Kong,Kwun Tong,-116.096931,44.9000803
5578,Emilia,"YATA Supermarket, Level LG, apm Millennium City 5, 418 Kwun Tong Road, Kwun Tong",Below $50,Italian,Pizza,,,Kwun Tong,40,Western,Kwun Tong,114.2245933,22.312564
5579,The Lane Bar & Restaurant,"Shop C, Camel Paint Bldg Centre, 1 Hing Yip Street, Kwun Tong",$201-$400,Western,Seafood,Western Restaurant,,Kwun Tong,150,Western,Kwun Tong,114.2247445,22.3100215
5580,Harbour Dessert,"G/F, 46 Hong Ning Road, Kwun Tong",Below $50,Hong Kong Style,Dessert,,,Kwun Tong,40,Hong Kong,Kwun Tong,114.223625,22.3154059
5581,ISSY MASON Cafe,"Room D, Flat 9, Block 1, CamelPaint Building, 62 Hoi Yuen Street, Kwun Tong",$101-$200,Western,Salad,Cake,Western Restaurant,Kwun Tong,300,Western,Kwun Tong,114.225166,22.310466
5582,Eat To New(),"G/F, 12 Yue Man Square, Kwun Tong",Below $50,Hong Kong Style,Noodles/Rice Noodles,Fast Food,,Kwun Tong,40,Hong Kong,Kwun Tong,114.223853,22.313752
5583,Bubble Tree,"Shop G43, G/F, E Plaza, 7 Shing Yip Street, Kwun Tong",Below $50,French,Bakery,Vegetarian,Takeaway,Kwun Tong,40,Western,Kwun Tong,114.226281,22.310875
5584,La Maison de l'Orient,"1/F, Dorsett Kwun Tong Hong Kong, 84 Hung To Road, Kwun Tong",$101-$200,Guangdong,Stir-Fry,,,Kwun Tong,300,Hong Kong,Kwun Tong,114.2241735,22.3079125
5585,Paul Lafayet,"L2-12, Level 2, APM, Millennium City 5, 418 Kwun Tong Road, Kwun Tong",Below $50,French,Dessert,Takeaway,,Kwun Tong,40,Western,Kwun Tong,114.2245933,22.312564
5586,McDonald's,"Shop 1A, G/F, Millennium City 1, 338 Kwun Tong Road, Kwun Tong",Below $50,American,Hamburger,Fast Food,,Kwun Tong,40,Western,Kwun Tong,114.216567,22.315703
5587,Go Inside Kitchen,"Shop D, 5/F, Selwyn Factory Building, 404 Kwun Tong Road, Kwun Tong",$101-$200,Italian,Western,Western Restaurant,Private Kitchen,Kwun Tong,300,Western,Kwun Tong,114.2232429,22.313103
5588,Seasons Patisserie,"Shop G56, G/F, Legend Tower, 7 Shing Yip Street, Kwun Tong",$51-$100,French,Bakery,Dessert,,Kwun Tong,75,Western,Kwun Tong,114.226281,22.310875
5589,She Wong Kuen,"Shop 4D, G/F, Chi Cheong Bldg, Yee On St, Kwun Tong",$51-$100,Hong Kong Style,Soup,Snack Shop & Deli,,Kwun Tong,75,Hong Kong,Kwun Tong,114.2225846,22.3153025
5590,Fish & Chick Plus,"Shop 302, 3/F, One Pacific Centre, 414 Kwun Tong Road, Kwun Tong",$101-$200,Western,International,Seafood,Roast Meat,Kwun Tong,300,Western,Kwun Tong,114.2245276,22.3125562
5591,H agen-Dazs,"Shop 7, 1/F, apm Millennium City 5, 418 Kwun Tong Road, Kwun Tong",$51-$100,Western,Ice Cream/yogurt,,,Kwun Tong,75,Western,Kwun Tong,114.2245933,22.312564
5592,Hop Hing Noodle Ka,"G/F, 91 Shung Yan Street, Kwun Tong",Below $50,Chiu Chow,Hong Kong Style,Noodles/Rice Noodles,Snack Shop & Deli,Kwun Tong,40,Chinese,Kwun Tong,114.224665,22.315613
5593,Thai BBQ,"Shop 2-4, 4/F, Shui Wo Street Market, 9 Shui Wo Street, Kwun Tong",$101-$200,Shanghai,Thai,Dai Pai Dong,,Kwun Tong,300,Chinese,Kwun Tong,114.2242705,22.3156875
5594,Dragon King Restaurant,"2/F, Yen Sheung Centre, 64 Hoi Yuen Road, Kwun Tong",$101-$200,Guangdong,Noodles/Rice Noodles,Soup,Chinese BBQ,Kwun Tong,300,Hong Kong,Kwun Tong,114.2254711,22.3107694
5595,Arome Bakery,"Shop 6, Kwun Tong MTR Station, Kwun Tong",Below $50,Western,Bakery,,,Kwun Tong,40,Western,Kwun Tong,114.2227035,22.3103686
5596,Mela Italian & Spanish Cuisine,"Room C, 11/F, Howard Factory Building, 66 Tsun Yip Street, Kwun Tong",$101-$200,Italian,Spanish,Western Restaurant,,Kwun Tong,300,Western,Kwun Tong,114.2236234,22.3118405
5597,McDonald's,"G/F, 64-76 Yue Man Square,, Kwun Tong",Below $50,American,Hamburger,Fast Food,,Kwun Tong,40,Western,Kwun Tong,114.2251771,22.3132214
5598,Kentucky Fried Chicken,"Shop 1, 2/F, apm Millennium City 5, 418 Kwun Tong Road, Kwun Tong",Below $50,American,Fast Food,,,Kwun Tong,40,Western,Kwun Tong,114.2245933,22.312564
5599,Fresh Tea,"Shop L2-3, 2/F, apm Millennium City 5, 418 Kwun Tong Road, Kwun Tong",Below $50,Taiwan,Taiwanese Drink,,,Kwun Tong,40,Chinese,Kwun Tong,114.2245933,22.312564
5600,Hoi Fuk,"Shop G29, G/F, Kwun Tong Plaza, 68 Hoi Yuen Road, Kwun Tong",Below $50,Hong Kong Style,Noodles/Rice Noodles,Snack Shop & Deli,,Kwun Tong,40,Hong Kong,Kwun Tong,114.226019,22.3111759
5601,i Vegetarian i,"Room 24, 2/F, Shing Yip Industrial Building, No. 19-21 Shing Yip Street, Kwun Tong",$51-$100,Hong Kong Style,Vegetarian,Private Kitchen,,Kwun Tong,75,Hong Kong,Kwun Tong,114.2271209,22.3100594
5602,Super Star Seafood Restaurant,"1/F, Yen Sheng Centre, 64 Hoi Yuen Road, Kwun Tong",$101-$200,Guangdong,Seafood,Dim Sum,Dim Sum Restaurant,Kwun Tong,300,Hong Kong,Kwun Tong,114.2254711,22.3107694
5603,Hing Hing,"G/F., 55 Hong Ling Road, Kwun Tong",Below $50,Thai,,,,Kwun Tong,40,Asian,Kwun Tong,114.210127,22.3311335
5604,SHY Dance Cafe,"Room i, 1/F, Camel Paint Buildng Block 3, 60 Hoi Yuen Road, Kwun Tong",Below $50,Western,Bakery,Noodles/Rice Noodles,Curry,Kwun Tong,40,Western,Kwun Tong,114.2250696,22.3101324
5605,Godiva Chocolatier,"Shop C-SP3, apm Millennium City 5, 418 Kwun Tong Road, Kwun Tong",$51-$100,Western,Chocolate/Candy Shop,,,Kwun Tong,75,Western,Kwun Tong,114.2245933,22.312564
5606,Luna Cake,"Shop 21, G/F, Legend Tower, E Plaza, 7 Shing Yip Street, Kwun Tong",Below $50,Japanese,Bakery,Dessert,,Kwun Tong,40,Asian,Kwun Tong,114.226281,22.310875
5607,Bagot Restaurant,"Flat B, 1/F., Hing Win Factory Building, 47 Hoi Yuen Road, Kwun Tong",Below $50,Hong Kong Style,Japanese,Western,Hot Pot,Kwun Tong,40,Hong Kong,Kwun Tong,114.2235165,22.3101401
5608,My Home Chef,"Room 607, Westin Center, 26 Hung To Road, Kwun Tong",$401-$800,International,Private Kitchen,Business Dining,Group Dining,Kwun Tong,600,International,Kwun Tong,114.219244,22.313063
5609,Shanghai Yat Pang Heung Restaurant,"2/F, Kwun Tong Square, 68 Hoi Yuen Road, Kwun Tong",$51-$100,Shanghai,Stir-Fry,,,Kwun Tong,75,Chinese,Kwun Tong,114.2232254,22.3089395
5610,Hami Bakery,"Flat H, 6/F, Yip Win Factory Building, 10 Tsun Yip Lane, Kwun Tong",$51-$100,French,Bakery,Dessert,,Kwun Tong,75,Western,Kwun Tong,114.2242096,22.3126825
5611,Kingduck,"Shop 1, 3/F, apm Millennium City 5, 418 Kwun Tong Road, Kwun Tong",$101-$200,Jingchuanhu,Wonton/Dumpling,Hot Chili Oil,,Kwun Tong,300,Chinese,Kwun Tong,114.2245933,22.312564
5612,Maxim's Cake Shop,"Shop KWT 11, Kwun Tong MTR Station, Kwun Tong",Below $50,Hong Kong Style,Bakery,,,Kwun Tong,40,Hong Kong,Kwun Tong,114.2227035,22.3103686
5613,Danish Bar,"cookedDeli by city'super, 2/F, apm Millennium City 5, 418 Kwun Tong Road, Kwun Tong",Below $50,Japanese,Bakery,Dessert,Food Court,Kwun Tong,40,Asian,Kwun Tong,114.2245933,22.312564
5614,Cheerful Sky Cuisine,"Shop 1, 1/F, Manulife Financial Centre, 223-231 Wai Yip Street, Kwun Tong, Kwun Tong",$51-$100,Guangdong,Food Wise Eateries,,,Kwun Tong,75,Hong Kong,Kwun Tong,114.224002,22.3074005
5615,IT OF HK Restaurant,"G/F., 369 Ngau Tau Kok Road, Kwun Tong",$51-$100,Italian,Pizza,Western Restaurant,,Kwun Tong,75,Western,Kwun Tong,114.2233876,22.3144627
5616,Sun Lee Wah Restaurant,__________69-71__________________,Below $50,Hong Kong Style,Noodles/Rice Noodles,Tea Restaurant,,Kwun Tong,40,Hong Kong,Kwun Tong,114.1653304,22.3215266
5617,Ideal Dim Sum,"Shop B, G/F, Good Year Industrial Building, 119-121 How Ming Street, Kwun Tong",$51-$100,Guangdong,Hong Kong Style,Chinese BBQ,Dim Sum,Kwun Tong,75,Hong Kong,Kwun Tong,114.2249275,22.3112445
5618,Doctor Beans,"Room 29, 2/F, Shing Yip Industrial Building, 19 Shing Yip Street, Kwun Tong",Below $50,Taiwan,Taiwanese Drink,Upper-floor Cafe,,Kwun Tong,40,Chinese,Kwun Tong,114.2271209,22.3100594
5619,V Cuisine,"7/F, Crocodile Center, 79 Hoi Yuen Road, Kwun Tong",$201-$400,Guangdong,Dim Sum,Stir-Fry,Business Dining,Kwun Tong,150,Hong Kong,Kwun Tong,114.225638,22.3116791
5620,Lemon Grass Thai & BBQ,"G/F, 23A Luen On Street, Kwun Tong",$51-$100,Thai,,,,Kwun Tong,75,Asian,Kwun Tong,114.221321,22.315532
5621,King Bakery,"Room A1, G/F, Phase 1, Camel Paint Building, 62 Hoi Yuen Road, Kwun Tong",Below $50,Hong Kong Style,Bakery,,,Kwun Tong,40,Hong Kong,Kwun Tong,114.225162,22.310466
5622,more food & creation,"G/F, Westin Centre, 26 Hung To Road, Kwun Tong",$101-$200,Thai,International,Western Restaurant,Coffee Shop,Kwun Tong,300,Asian,Kwun Tong,114.219244,22.313063
5623,PP Cafe,"Rm A, G/F, Good Year Industrial Building, 119-121 How Ming Street, Kwun Tong",$101-$200,Italian,French,Western,Western Restaurant,Kwun Tong,300,Western,Kwun Tong,114.2249275,22.3112445
5624,Arome Bakery,"Shop 2A, G/F, Millennium City 1, 388 Kwun Tong Road, Kwun Tong",Below $50,Western,Bakery,,,Kwun Tong,40,Western,Kwun Tong,114.2215659,22.313546
5625,Tong Kee Bao Dim,"Shop KWT 27, Kwun Tong Station, Kwun Tong",Below $50,Hong Kong Style,Chinese Buns,Takeaway,,Kwun Tong,40,Hong Kong,Kwun Tong,114.2227035,22.3103686
5626,U-Banquet,"2/F, Crocodile Center, 79 Hoi Yuen Road, Kwun Tong",$101-$200,Guangdong,Hot Pot,Seafood,Dim Sum,Kwun Tong,300,Hong Kong,Kwun Tong,114.225638,22.3116791
5627,Pie & Tart Specialists&,"Shop KWT 22, Kwun Tong Station, Kwun Tong",Below $50,Hong Kong Style,Bakery,Takeaway,,Kwun Tong,40,Hong Kong,Kwun Tong,114.2227035,22.3103686
5628,Outfielder Japanese Restaurant,"Shop D, G/F, Kwun Tong Industrial Centre Phase 1, 474 Kwun Tong Road, Kwun Tong",$201-$400,Japanese,All-you-can-eat,,,Kwun Tong,150,Asian,Kwun Tong,114.2278423,22.3111842
5629,Sum Sum Dessert,"Room1305, 13/F, Entrepot Centre,117 How Ming Street, Kwun Tong",Below $50,Hong Kong Style,Dessert,Cake,,Kwun Tong,40,Hong Kong,Kwun Tong,114.2246875,22.3115685
5630,Beidouweng Hotpot Cuisine,"3/F, Crocodile Center, 79 Hoi Yuen Road, Kwun Tong",$201-$400,Hong Kong Style,Hot Pot,,,Kwun Tong,150,Hong Kong,Kwun Tong,114.225638,22.3116791
5631,Italian Tomato Caf ,"Shop C-41, apm Millennium City 5, 418 Kwun Tong Road, Kwun Tong",$51-$100,Italian,Western Restaurant,,,Kwun Tong,75,Western,Kwun Tong,114.2245933,22.312564
5632,LUNG MUN CAFE,"323 NGAU TAU KOK ROAD, Kwun Tong",Below $50,Hong Kong Style,Bakery,Noodles/Rice Noodles,Tea Restaurant,Kwun Tong,40,Hong Kong,Kwun Tong,114.2219315,22.3149594
5633,Oliver's Super Sandwiches,"Shop L2-12 & L2-13, Level 2, apm Millennium City 5, 418 Kwun Tong Road, Kwun Tong",$51-$100,British,Bakery,Meatless Menu,Fast Food,Kwun Tong,75,Western,Kwun Tong,-71.7030697,43.5258344
5634,Pret A Manger,"Shop 5, 1/F, Manulife Financial Centre, 223-231 Wai Yip Street, Kwun Tong",$51-$100,British,Bakery,Meatless Menu,Coffee Shop,Kwun Tong,75,Western,Kwun Tong,114.224002,22.3074005
5635,Maxim's MXMX,"Shop 213, 2/F, Kwun Tong Square, 68 Hoi Yuen Road, Kwun Tong",Below $50,Hong Kong Style,Fast Food,,,Kwun Tong,40,Hong Kong,Kwun Tong,114.226019,22.3111759
5636,Tasty Fabio,"Shop T, 9/F., Camel Paint Building Block 3, 60 Kwun Tong Road, Kwun Tong",$51-$100,Italian,International,Western Restaurant,Upper-floor Cafe,Kwun Tong,75,Western,Kwun Tong,114.2219289,22.3084629
5637,Fat Fat Restaurant,"5/F, 90 Hung To Road, Kwun Tong",$51-$100,Western,,,,Kwun Tong,75,Western,Kwun Tong,114.2184863,22.3141557
5638,Herbaceous Teas,"Shop 1A4, 44-46 Hung To Road, Kwun Tong",Below $50,Guangdong,Herbal Tea,Takeaway,,Kwun Tong,40,Hong Kong,Kwun Tong,114.2213196,22.311169
5639,Caldo Dining Room,"Shop 501, Sing Win Factory Building, 15-17 Shing Yip Street, Kwun Tong",$401-$800,Italian,French,,,Kwun Tong,600,Western,Kwun Tong,114.2268245,22.310361
5640,Best Hotpot Restaurant,"Shop 2, G/F, Wah Shing Centre, Shing Yip Street, Kwun Tong",$101-$200,Guangdong,Hot Pot,Dim Sum Restaurant,,Kwun Tong,300,Hong Kong,Kwun Tong,114.2266452,22.3099829
5641,Woo Lo Koon,"G/F, 7 Yee On St, Kwun Tong",Below $50,Hong Kong Style,Dessert,,,Kwun Tong,40,Hong Kong,Kwun Tong,114.222049,22.315631
5642,Shun Wo Hong,"G/F, 12 Hing Yip Street, Kwun Tong",Below $50,Hong Kong Style,Snack Shop & Deli,,,Kwun Tong,40,Hong Kong,Kwun Tong,114.2247749,22.309313
5643,Golden Field Cafe,"Shop B2, 1/F, Hing Win Factory Building, 110 How Ming Street, Kwun Tong",$101-$200,Western,Western Restaurant,,,Kwun Tong,300,Western,Kwun Tong,114.2239491,22.3114775
5644,Kelvin's Kitchen,"G/F, Yau Lee Building, 17 Yee On Street, Kwun Tong",$51-$100,Western,Western Restaurant,,,Kwun Tong,75,Western,Kwun Tong,114.2223719,22.3155154
5645,Dream Cake Limited,"Unit 01, 7/F, Ricky Centre, 36 Chong Yip Street, Kwun Tong",$51-$100,Western,Bakery,Takeaway,,Kwun Tong,75,Western,Kwun Tong,114.2191765,22.3143075
5646,DUO Patisserie,"Shop 5F4, G/F, Hung To Center, 94-96 How Ming Street, Kwun Tong",Below $50,Western,Cake,,,Kwun Tong,40,Western,Kwun Tong,114.2203596,22.312829
5647,Brunei Restaurant,"3/F, Podium, Shun Lee Commercial Complex, Kwun Tong",Below $50,Singaporean,Curry,Tea Restaurant,,Kwun Tong,40,Asian,Kwun Tong,114.2227035,22.3103686
5648,Starbucks Coffee,"Shop 3A&3B, G/F, Millennium City 1, 388 Kwun Tong Road, Kwun Tong",Below $50,American,Salad,Coffee Shop,Casual Drink,Kwun Tong,40,Western,Kwun Tong,144.9409915,-37.5978743
5649,Tim's Kitchen,"Shop A, G/F, Kwun Tong Industrial Centre Block 1, 472 Kwun Tong Road, Kwun Tong",Below $50,Western,,,,Kwun Tong,40,Western,Kwun Tong,114.2280994,22.3105688
5650,Eat To New(),"G/F, 361 Ngau Tau Kok Road, Kwun Tong",Below $50,Hong Kong Style,Noodles/Rice Noodles,Fast Food,,Kwun Tong,40,Hong Kong,Kwun Tong,114.2230881,22.3145828
5651,Cafde Coral,"Shop 1, G/F, Wei Ming Centre, No. 53 Hung To Road, Kwun Tong",Below $50,Hong Kong Style,Meatless Menu,Fast Food,,Kwun Tong,40,Hong Kong,Kwun Tong,114.2221914,22.311151
5652,Lok Chui Yuen,"G/F, 4A-B Yee On Street, Kwun Tong",$51-$100,Hong Kong Style,Hot Pot,Dim Sum,Stir-Fry,Kwun Tong,75,Hong Kong,Kwun Tong,114.221848,22.315244
5653,Cafde Coral,"1/F & 2/F, 11 Hong Ning Rd, Kwun Tong",Below $50,Hong Kong Style,Meatless Menu,Fast Food,,Kwun Tong,40,Hong Kong,Kwun Tong,-116.1064424,44.9107979
5654,Hong Lin Restaurant,"1/F, Everest Industrial Center, 396 Kwun Tong Road, Kwun Tong",Below $50,Hong Kong Style,Stir-Fry,Tea Restaurant,,Kwun Tong,40,Hong Kong,Kwun Tong,114.2223205,22.3132715
5655,Beauty and Juice,"Shop G60, E Plaza, 7 Shing Yip Street, Kwun Tong",Below $50,Western,Juice,Salad,Takeaway,Kwun Tong,40,Western,Kwun Tong,114.226281,22.310875
5656,McCafe,__________1________________A__,Below $50,American,Bakery,Coffee Shop,,Kwun Tong,40,Western,Kwun Tong,114.174695,22.2783151
5657,Pacific Coffee Company,"Shop 1, G/F, Landmark East AXA Tower, 100 How Ming Street, Kwun Tong",Below $50,Western,Coffee Shop,,,Kwun Tong,40,Western,Kwun Tong,114.223027,22.312318
5658,Hot pot boy,"Flat 11, 2/F, Block A, Hoi Luen Industrial Centre, 55 Hoi Yeun Road, Kwun Tong",$101-$200,Hong Kong Style,Hot Pot,,,Kwun Tong,300,Hong Kong,Kwun Tong,114.223888,22.3107436
5659,Happy Corner Cakes Cookies Gallery,"Flat 13, 2/F, Shing Yip Industrial Building, 19-21 Shing Yip Street, Kwun Tong",Below $50,Hong Kong Style,Bakery,Upper-floor Cafe,,Kwun Tong,40,Hong Kong,Kwun Tong,114.2271209,22.3100594
5660,E Too,"Shop 5F3, G/F, Hung To Centre, 94-96 ow Ming Street, Kwun Tong",$51-$100,Spanish,International,Coffee Shop,,Kwun Tong,75,Western,Kwun Tong,114.223017,22.315767
5661,East Lounge,"Shop D-K, G/F, COS Centre, 56 Tsun Yip Street, Kwun Tong",Below $50,International,Food Court,,,Kwun Tong,40,International,Kwun Tong,114.2226428,22.3113142
5662,Yoshinoya,"Shop 2, 5/F, APM Millennium City 5, 418 Kwun Tong Road, Kwun Tong",$51-$100,Japanese,Fast Food,,,Kwun Tong,75,Asian,Kwun Tong,114.2245933,22.312564
5663,Moreish & Malt,"Shop B, G/F, 48 Hung To Road, Kwun Tong",$101-$200,Western,American,Sandwich,Hamburger,Kwun Tong,300,Western,Kwun Tong,114.2220805,22.310752
5664,agn s b. D LICES,"Shop C-3, apm Millennium City 5, 418 Kwun Tong Road, Kwun Tong",$101-$200,French,Chocolate/Candy Shop,,,Kwun Tong,300,Western,Kwun Tong,114.2245933,22.312564
5665,HeyYO!!,"Shop UC45, Upper Concourse Level, apm Millennium City 5, 418 Kwun Tong Road, Kwun Tong",Below $50,Western,Ice Cream/yogurt,,,Kwun Tong,40,Western,Kwun Tong,114.2245933,22.312564
5666,Hana-Musubi,"Shop 5B, G/F, Millennium City Phase 1, 388 Kwun Tong Road, Kwun Tong",Below $50,Japanese,Sushi/Sashimi,Takeaway,,Kwun Tong,40,Asian,Kwun Tong,114.2215659,22.313546
5667,Mr. Rich Bakery,"3/F, Union Industrial Building, 116 Wai Yip Street, Kwun Tong",$51-$100,Western,,,,Kwun Tong,75,Western,Kwun Tong,114.217571,22.3134189
5668,Shouten Shanghai Noddle House,"Shop 64-66, 1/F, Laguna Plaza, 8 Cha Kwo Ling Road, Kwun Tong",$51-$100,Shanghai,Ramen,Dim Sum,Wonton/Dumpling,Kwun Tong,75,Chinese,Kwun Tong,114.22857,22.308545
5669,Return Coffee House,"Shop 2A, G/F, Hung Tat Industrial Building, 43 Hung To Road, Kwun Tong",Below $50,Western,Coffee Shop,,,Kwun Tong,40,Western,Kwun Tong,114.221197,22.3120429
5670,Blue Sky Cafe,"G/F, Aegean Place, Hung To Centre, 94-96 How Ming Street, Kwun Tong",Below $50,Western,Bakery,Sandwich,All Day Breakfast,Kwun Tong,40,Western,Kwun Tong,114.2203596,22.312829
5671,Zingmomoon,"Shop Q, 1/F, Camel Paint Building Block 3, 60 Kwun Tong Road, Kwun Tong",Below $50,Hong Kong Style,Soup,Stir-Fry,,Kwun Tong,40,Hong Kong,Kwun Tong,114.2219289,22.3084629
5672,Das Gute,"Unit KT-001, Shop No.LG-1 & LG-3, LG/F, apm Millennium City 5, 418 Kwun Tong Road, Kwun Tong",Below $50,Western,Bakery,,,Kwun Tong,40,Western,Kwun Tong,NA,NA
5673,Salmon King,"Shop 42, G/F, E-Plaza, Legend Tower, 7 Shing Yip Street, Kwun Tong",$51-$100,Japanese,Sushi/Sashimi,Takeaway,,Kwun Tong,75,Asian,Kwun Tong,114.226281,22.310875
5674,Red MR,"12-15/F, One Pacific Centre, 414 Kwun Tong Road, Kwun Tong",$101-$200,Hong Kong Style,Karaoke,Group Dining,Private Party,Kwun Tong,300,Hong Kong,Kwun Tong,114.2245276,22.3125562
5675,SG50,"Unit A-1, New Foodcourt, Level 2, apm Millennium City 5, 418 Kwun Tong Road, Kwun Tong",$51-$100,Singaporean,Indian,Ramen,Seafood,Kwun Tong,75,Asian,Kwun Tong,114.2245933,22.312564
5676,Pretty Good Fast Food Shop,"2/F Shun Lee Estate , Kwun Tong",Below $50,Hong Kong Style,Chinese BBQ,Curry,,Kwun Tong,40,Hong Kong,Kwun Tong,114.224573,22.327885
