id,name,address,price,type1,type2,type3,type4,region,avg_price,simp_type,Districts,lon,lat
44,Tenshu Tempura & Sashimi Restaurant,"Shop A, G/F, Lam's Building, 6-10 Kau U Fong, Sheung Wan",$401-$800,Japanese,Seafood,Sushi/Sashimi,,Sheung Wan,600,Asian,Central and Western,114.152916,22.284616
45,Lan Fong Yuen,"Shop 304D, 3/F, Shun Tak Centre, 168-200 Connaugh Road Central, Sheung Wan",Below $50,Hong Kong Style,Tea Restaurant,,,Sheung Wan,40,Hong Kong,Central and Western,114.1491375,22.2863943
46,Barista Jam,"Shop D, G/F, 126-128 Jervois Street, Sheung Wan",Below $50,Australian,Italian,Coffee Shop,,Sheung Wan,40,Western,Central and Western,114.150143,22.285594
47,The Kinnet Cafe,"3/F, 33 Hillier Street, Sheung Wan",$101-$200,Mediterranean,Western,Herbal Cuisine,Meatless Menu,Sheung Wan,300,Western,Central and Western,114.1509216,22.284786
48,Brew Bros Coffee,"Shop F2, LG/F, 33 Hillier Street, Sheung Wan",$51-$100,Western,Takeaway,Coffee Shop,Snack Shop & Deli,Sheung Wan,75,Western,Central and Western,114.1509216,22.284786
49,RosHome Kitchen,"Shop 2, G/F, Bonham Trade Centre, 50 Bonham Strand East, Sheung Wan",Below $50,Western,Bakery,Coffee Shop,,Sheung Wan,40,Western,Central and Western,114.1513267,22.2858159
50,ABC Kitchen,"Shop 7, Food Market, 1 Queen Street , Sheung Wan",$201-$400,Western,Pizza,Dai Pai Dong,,Sheung Wan,150,Western,Central and Western,114.1470024,22.2871841
51,K-Roll,"Shop 6A, G/F, Sen Fat Building, 6 Bonham Strand, Sheung Wan",$51-$100,Korean,Takeaway,,,Sheung Wan,75,Asian,Central and Western,114.1525194,22.285314
52,"the Roaster, SteP by SteP","G/F, 26 Upper Lascar Row, Sheung Wan",$51-$100,Western,Bakery,Dessert,Western Restaurant,Sheung Wan,75,Western,Central and Western,114.1497535,22.284793
53,Tokuzen Sushi,"G/F, 145 Connaught Road Central, Sheung Wan",$101-$200,Japanese,Ramen,Sushi/Sashimi,Skewer,Sheung Wan,300,Asian,Central and Western,114.1512761,22.287191
54,Sang Kee Congee Shop,"G/F, 7-9 Burd Street, Sheung Wan",Below $50,Guangdong,Congee,,,Sheung Wan,40,Hong Kong,Central and Western,114.1516918,22.2852983
55,Deli-O,"Shop 268A, 2/F, Shun Tak Centre, 168-200 Connaught Road Central, Sheung Wan",Below $50,Hong Kong Style,Fast Food,,,Sheung Wan,40,Hong Kong,Central and Western,114.1518293,22.2878529
56,MAN MO Cafe,"40 Upper Lascar Row, Sheung Wan",$201-$400,Guangdong,Western,Dim Sum,Wonton/Dumpling,Sheung Wan,150,Hong Kong,Central and Western,114.1496032,22.2849077
57,La Cantoche,"G/F, 227 Hollywood Road, Sheung Wan",$201-$400,French,Western Restaurant,,,Sheung Wan,150,Western,Central and Western,114.1485355,22.2854331
58,Tartes & Pop,"G/F, 2 Morrison Street, Sheung Wan",Below $50,French,Cake,Takeaway,Chocolate/Candy Shop,Sheung Wan,40,Western,Central and Western,114.1506445,22.2872506
59,Suzuki Cafe Company,"Shop 103-105, 1/F, Infinitus Plaza, 199 Des Voeux Road Central, Sheung Wan",$51-$100,Japanese,Taiwanese Drink,Soup,Meatless Menu,Sheung Wan,75,Asian,Central and Western,114.1537035,22.286389
60,Chuen Cheung Kui,"Shop C & 1/F, Alliance Building, 133 Connaught Road Central, Sheung Wan",$101-$200,Hakka,Stir-Fry,,,Sheung Wan,300,Chinese,Central and Western,114.1496,22.28797
61,Wing Lee Wai Wines LTD,"G/F, Wing Lee Wai Building ,124  Wing Lok Street, Sheung Wan",$51-$100,Hong Kong Style,Shanghai Hairy Crab,,,Sheung Wan,75,Hong Kong,Central and Western,114.1496598,22.2867531
62,For Kee Restaurant,"Shop J-K., 200 Hollywood Road, Sheung Wan",Below $50,Hong Kong Style,Tea Restaurant,,,Sheung Wan,40,Hong Kong,Central and Western,114.1479256,22.2852979
63,The Lot on Possession,"22 Possession Street, Sheung Wan",$101-$200,Italian,Pizza,Hamburger,Western Restaurant,Sheung Wan,300,Western,Central and Western,114.1481298,22.2857311
64,CLUB CHOW,"9/F, The Pemberton, 22-26 Bonham Strand, Sheung Wan",$201-$400,Italian,French,Western Restaurant,Bar,Sheung Wan,150,Western,Central and Western,114.1521281,22.2854991
65,Paper Stone Bakery,"Shop 4-5, G/F, FWD Financial Centre, 308 Des Voeux Road, Sheung Wan",Below $50,Western,Bakery,,,Sheung Wan,40,Western,Central and Western,114.1391221,22.2872579
66,Bun Cha Vietnamese,"Shop 1, G/F, King Ho Building, 41-49 Aberdeen Street, Soho, Sheung Wan",$101-$200,Vietnamese,Noodles/Rice Noodles,,,Sheung Wan,300,Asian,Central and Western,114.1491375,22.2863943
67,Ho Hak Shan Tung,"G/F., 17 Burd Street, Sheung Wan",Below $50,Shandong,Wonton/Dumpling,Stir-Fry,,Sheung Wan,40,Chinese,Central and Western,114.1514553,22.285218
68,Tokyo Milk Cheese Factory,"Shop 4-6, G/F, Western Market, 323 Des Voeux Road Central, Sheung Wan",$51-$100,Japanese,Cake,,,Sheung Wan,75,Asian,Central and Western,114.1503855,22.2873075
69,Table,"8/F, The Pemberton ,22-26 Bonham Strand East, Sheung Wan",$401-$800,Japanese,Western,International,Seafood,Sheung Wan,600,Asian,Central and Western,114.1521281,22.2854991
70,Green Veggie,"Room A-B, 1/F, Finance Building, 254 Des Vouex Road Central, Sheung Wan",$51-$100,International,Vegetarian,Meatless Menu,Western Restaurant,Sheung Wan,75,International,Central and Western,114.1519024,22.2864095
71,Jenny Bakery,"Ground Floor, 15 Wing Wo Street, Sheung Wan",$51-$100,Western,Bakery,,,Sheung Wan,75,Western,Central and Western,114.1537285,22.285103
72,Hana-Musubi,"Shop 204, 2/F, Grand Millennium Plaza, 181 Queen's Road Central, Sheung Wan",Below $50,Japanese,Sushi/Sashimi,Takeaway,,Sheung Wan,40,Asian,Central and Western,114.1533557,22.2851111
73,Yardbird,"33-35 Bridges Street, Sheung Wan",$401-$800,Japanese,,,,Sheung Wan,600,Asian,Central and Western,114.1505437,22.2835973
74,The Fingerprint,"G/F, 100 Jervois Street, Sheung Wan",$401-$800,Japanese,Sushi/Sashimi,Yoshoku,,Sheung Wan,600,Asian,Central and Western,114.1507608,22.2850963
75,Elephant Grounds,"(Inside Woaw Store), 11 Gough Street, Sheung Wan",Below $50,International,Coffee Shop,,,Sheung Wan,40,International,Central and Western,114.1527147,22.2841345
76,Chachawan,"G/F, 206 Hollywood Road, Sheung Wan",$201-$400,Thai,,,,Sheung Wan,150,Asian,Central and Western,114.1478785,22.2854676
77,Genki Sushi,"Shop 241, 2/F, Shun Tak Centre, 168-200 Connaught Road Central, Sheung Wan",$101-$200,Japanese,Sushi/Sashimi,Sushi Bar,,Sheung Wan,300,Asian,Central and Western,114.1518293,22.2878529
78,Sushi Shikon,"The Mercer, 29 Jervois Street, Sheung Wan",Above $801,Japanese,Sushi/Sashimi,,,Sheung Wan,1200,Asian,Central and Western,114.1518205,22.2853859
79,Dandy's Organic Cafe,"G/F, 108 Jervois Street, Sheung Wan",$101-$200,Western,Herbal Cuisine,Coffee Shop,,Sheung Wan,300,Western,Central and Western,114.1506306,22.2853069
80,Shirokuma Curry,"Shop 228-230, 2/F, Shun Tak Centre, 168-200 Connaught Road Central, Sheung Wan",$51-$100,Japanese,Curry,,,Sheung Wan,75,Asian,Central and Western,114.1518293,22.2878529
81,Urawa Japanese Restaurant,"G/F, Tung Hip Commercial Building, 244-252 Des Voeux Road Central, Sheung Wan",$201-$400,Japanese,Sushi/Sashimi,All-you-can-eat,,Sheung Wan,150,Asian,Central and Western,114.152163,22.2862864
82,Noodlemi,"G/F, 2 Bonham Strand, Sheung Wan",$51-$100,Vietnamese,Noodles/Rice Noodles,,,Sheung Wan,75,Asian,Central and Western,114.1526031,22.2852894
83,Homei,"Shop B, G/F, 22-24A Tai Ping San Street, Sheung Wan",Below $50,Western,Coffee Shop,,,Sheung Wan,40,Western,Central and Western,114.1484654,22.2846105
84,Cafe Deco Pizzeria,"Shop 3-4, G/F, Tower 125, 11 Po Yan Street, Sheung Wan",$101-$200,International,Pizza,Western Restaurant,,Sheung Wan,300,International,Central and Western,114.147411,22.2851939
85,Hei Lee Cakes Shop,__________3 ______,Below $50,Hong Kong Style,Bakery,,,Sheung Wan,40,Hong Kong,Central and Western,114.1180588,22.3520038
86,Das Gute,"G/F, Western Market, 323 Des Voeux Road Central, Sheung Wan",Below $50,Western,Bakery,Western Restaurant,,Sheung Wan,40,Western,Central and Western,114.1503855,22.2873075
87,Chan Kan Kee Chiu Chow Restaurant,"G/F, 11 Queen's Road West, Sheung Wan",$101-$200,Chiu Chow,Stir-Fry,,,Sheung Wan,300,Chinese,Central and Western,114.1485599,22.2863746
88,cha FOR TEA,"G/F, 10 Morrison Street, Sheung Wan",Below $50,Taiwan,Taiwanese Drink,,,Sheung Wan,40,Chinese,Central and Western,114.1502351,22.2859779
89,Gees Restaurant & Bar,"Shop G&H;, Hollywood Centre, 77-91 Queen's Road West, Sheung Wan",$201-$400,International,Wine/Cigar,Seafood,Western Restaurant,Sheung Wan,150,International,Central and Western,114.1471171,22.2865395
90,Little Burro,"1 Upper Station Street, Sheung Wan",$51-$100,Mexican,Western Restaurant,Fast Food,,Sheung Wan,75,Others,Central and Western,114.148621,22.2853066
91,Maxim's Cake Shop,"Shop 266, 2/F., Shun Tak Centre, 168-200 Connaught Road Centre, Sheung Wan",Below $50,Hong Kong Style,Bakery,,,Sheung Wan,40,Hong Kong,Central and Western,114.1491375,22.2863943
92,Coco Espresso,"G/F, 197 Queens Road Central, Sheung Wan",Below $50,Western,All Day Breakfast,Coffee Shop,Casual Drink,Sheung Wan,40,Western,Central and Western,114.1447,22.2871292
93,Three Monkeys,"G/F, 151-155 Hollywood Road, Sheung Wan",$401-$800,Japanese,Skewer,Bar,Skewer,Sheung Wan,600,Asian,Central and Western,114.1506001,22.2840666
94,Macau Restaurant,"Shop 270-273, 2/F Shun Tak Centre, 168-200 Connaught Rd Central, Sheung Wan",$51-$100,Hong Kong Style,Tea Restaurant,,,Sheung Wan,75,Hong Kong,Central and Western,114.1491375,22.2863943
95,Trattoria Queen Hollywood,"G/F, 258 Hollywood Road, Sheung Wan",$401-$800,Italian,Wine/Cigar,Seafood,Vegetarian,Sheung Wan,600,Western,Central and Western,114.146893,22.2862259
96,Munchies,"G/F, 4 Shin Hing Street, Sheung Wan",Below $50,Western,Bakery,Dessert,,Sheung Wan,40,Western,Central and Western,114.1522056,22.2840864
97,Wing Kei Noodle Shop,"G/F, 21 Sutherland Street, Sai Ying Pun, Sheung Wan",Below $50,Chiu Chow,Noodles/Rice Noodles,,,Sheung Wan,40,Chinese,Central and Western,114.146073,22.288161
98,She Wong Lam,__________13______,Below $50,Guangdong,Soup,Snake Soup,Stir-Fry,Sheung Wan,40,Hong Kong,Central and Western,114.1840527,22.2798182
99,Treasure Lake Seafood Restaurant,"1/F, Hongway Garden, 7 On Tai Street, Sheung Wan",$101-$200,Guangdong,Seafood,Dim Sum Restaurant,Food Wise Eateries,Sheung Wan,300,Hong Kong,Central and Western,114.1497306,22.2872027
100,Maxim's Palace Chinese Restaurant,"B13-B18, B/F, Shun Tak Centre, 168-200 Connaught Road Central, Sheung Wan",$101-$200,Guangdong,Dim Sum,Dim Sum Restaurant,,Sheung Wan,300,Hong Kong,Central and Western,114.1518293,22.2878529
101,Greenixs Korea Food Court,"G/F., No. 5 Jervois Street, Sheung Wan",$51-$100,Korean,Fast Food,,,Sheung Wan,75,Asian,Central and Western,114.1525782,22.2852784
102,238 Restaurant,"GF., 238 Hollywood Road, Sheung Wan",$201-$400,Dutch,French,Wine/Cigar,Seafood,Sheung Wan,150,Western,Central and Western,114.1472997,22.2858983
103,Noodle Supreme,"Shop 1, 22-24 Jervois Street, Sheung Wan",Below $50,Hong Kong Style,Food Stall Noodles,Snack Shop & Deli,,Sheung Wan,40,Hong Kong,Central and Western,114.1522627,22.2851777
104,Sheung Wan Canteen & Cafe,"G/F, 3 Burd Street, Sheung Wan",Below $50,Guangdong,Noodles/Rice Noodles,Chinese BBQ,Takeaway,Sheung Wan,40,Hong Kong,Central and Western,114.1517668,22.2853176
105,Yuet Lai Shun,"Shop C-G, G/F, Seaview Commercial Building, 21-24 Connaught Road West, Sheung Wan",$101-$200,Guangdong,Chinese BBQ,Stir-Fry,,Sheung Wan,300,Hong Kong,Central and Western,114.149144,22.2877449
106,La Porcina,"Shop C, G/F, 188 Hollywood Road, Sheung Wan",$101-$200,Spanish,Western,Seafood,Dessert,Sheung Wan,300,Western,Central and Western,114.1484575,22.2853462
107,Ronin,"8 On Wo Lane, Sheung Wan",$401-$800,Japanese,,,,Sheung Wan,600,Asian,Central and Western,114.1524161,22.2844695
108,Tak Shing Kitchen,"G/F, Wayson Commercial Building, 28 Connaught Road West, Sheung Wan",Below $50,Hong Kong Style,Noodles/Rice Noodles,Chinese BBQ,Tea Restaurant,Sheung Wan,40,Hong Kong,Central and Western,114.1488945,22.2878149
109,18 Grams,"Shop 2, G/F, Skyline Commercial Centre, 71-77 Wing Lok Street, Sheung Wan",$51-$100,Western,All Day Breakfast,Coffee Shop,,Sheung Wan,75,Western,Central and Western,114.1522156,22.2859264
110,Italian Tomato,"Shop G & H, G/F, Kai Tak Commercial Building, 317-321 Des Voeux Road Central, Sheung Wan",$51-$100,Italian,,,,Sheung Wan,75,Western,Central and Western,72.0772755,33.532918
111,Fetch Coffee,"G/F, 109 Jervois Street, Sheung Wan",$51-$100,Western,Bakery,Coffee Shop,,Sheung Wan,75,Western,Central and Western,114.1504429,22.2857641
112,Curry Box By Tim,"G/F., 16 Hillier Street, Sheung Wan",$51-$100,Middle Eastern,Curry,Upper-floor Cafe,,Sheung Wan,75,South Asian,Central and Western,114.1516389,22.2853314
113,Not A Burger,"Shop 8A, G/F, 8-12 Morrison Street, Sheung Wan",Below $50,Korean,Hamburger,Fast Food,,Sheung Wan,40,Asian,Central and Western,114.1501826,22.2861621
114,Sky Cuisine,"2-5/F, Loon Kee Building, 267-275 Des Voeux Road Central, Sheung Wan",$101-$200,Guangdong,Seafood,Dim Sum,Stir-Fry,Sheung Wan,300,Hong Kong,Central and Western,114.151824,22.286835
115,208 Duecento Otto,"G/F, 208 Hollywood Road, Sheung Wan",$401-$800,Italian,Pizza,Western Restaurant,Bar,Sheung Wan,600,Western,Central and Western,114.1477,22.285485
116,Zone-D Ristorante,"Shop 603, 6/F, Cheungs Building, 1-3 Wing Lok Street, Sheung Wan",$201-$400,Italian,Private Kitchen,,,Sheung Wan,150,Western,Central and Western,114.1538818,22.2856373
117,Cafe Bauhinia,"G/F, 23 New Market Street, Sheung Wan",$51-$100,Western,Sandwich,Salad,Cake,Sheung Wan,75,Western,Central and Western,114.1498319,22.2873378
118,Idea,"G/F, 48 Jervois Street, Sheung Wan",Below $50,Western Restaurant,,,,Sheung Wan,40,Western,Central and Western,114.152721,22.2852068
119,Fusion Gourmet,"1/F, The Pemberton, 22-26 Bonham Strand, Sheung Wan",$101-$200,International,Western Restaurant,,,Sheung Wan,300,International,Central and Western,114.1521281,22.2854991
120,Chang Long Shi Fu,"G/F., 11 Burd Street, Sheung Wan",Below $50,Hong Kong Style,Stir-Fry,,,Sheung Wan,40,Hong Kong,Central and Western,114.1513737,22.2854301
121,Oliver's Super Sandwiches,"Shop 239 - 240, 2/F, Shun Tak Centre, 168-200 Connaught Road Central, Sheung Wan",$51-$100,British,Bakery,Meatless Menu,Fast Food,Sheung Wan,75,Western,Central and Western,114.1518293,22.2878529
122,Gaia Ristorante,"G/F, Grand Millennium Plaza, 181 Queen's Road,, Sheung Wan",$201-$400,Italian,Pizza,Western Restaurant,Coffee Shop,Sheung Wan,150,Western,Central and Western,114.1536916,22.2851582
123,Ina Hotpot by Inagiku,"Shop A, G/F, Gold Union Commercial Building, 70-72 Connaught Road West, Sheung Wan",$201-$400,Japanese,Hot Pot,,,Sheung Wan,150,Asian,Central and Western,114.1467464,22.2881129
124,il Bel Paese,"G/F, 299 Queen's Road Central, Sheung Wan",$201-$400,Italian,Bakery,Wine/Cigar,Dessert,Sheung Wan,150,Western,Central and Western,114.15064,22.2849752
125,Euro Eatery,"Shop 103, Cheungs Building, 1-3 Wing Lok Street, Sheung Wan",$51-$100,Western,,,,Sheung Wan,75,Western,Central and Western,114.1538818,22.2856373
126,LOF10,"Flat B, 1 U Lam Terrace, Sheung Wan",Below $50,International,Bakery,Dessert,All Day Breakfast,Sheung Wan,40,International,Central and Western,114.1489395,22.2834309
127,URA Japanese Delicacy,"2/F, The Wellington, 198 Wellington Street, Sheung Wan",$201-$400,Japanese,Teppanyaki,Sushi/Sashimi,Bar,Sheung Wan,150,Asian,Central and Western,114.1560549,22.2807986
128,Nam Kee Spring Roll Noodle Co. Ltd,"Shop B, G/F, Hing Yip Commerical Centre, 272-284 Des Voeux Road Central, Sheung Wan",Below $50,Hong Kong Style,Noodles/Rice Noodles,Wonton/Dumpling,,Sheung Wan,40,Hong Kong,Central and Western,114.151479,22.2865246
129,Lucullus Gourmet Shop,"Koisk 1, 1/F, Infinitus Plaza, 199 Des Voeux Road Central, Sheung Wan",$51-$100,Western,Cake,Chocolate/Candy Shop,,Sheung Wan,75,Western,Central and Western,114.1537035,22.286389
130,Coffee Tree,"G/F, Hing Loong Building, 6A Wing Lok Street, Sheung Wan",$51-$100,Western,Takeaway,Western Restaurant,Coffee Shop,Sheung Wan,75,Western,Central and Western,114.1530534,22.2860054
131,Thai Good Taste,"Shop CF23, Cooked Food Centre, 2/F, Sheung Wan Municipal Services Building And Civic Centre, 345 Queen's Road Central, Sheung Wan",$51-$100,Thai,,,,Sheung Wan,75,Asian,Central and Western,114.1497606,22.2861929
132,Original Taste,"G/F, 14 Hiller Street, Sheung Wan",Below $50,Tea Restaurant,,,,Sheung Wan,40,Hong Kong,Central and Western,114.1516875,22.2853995
133,The Dutch Cheese and More,"G/F, 232 Queen__s Road Central, Sheung Wan",$101-$200,Dutch,Wine/Cigar,Western Restaurant,,Sheung Wan,300,Western,Central and Western,114.1730676,22.2745539
134,Glo Restaurant + Lounge,"1/F, Butterfly on Waterfront, 94 Connaught Road West, Sheung Wan, Sheung Wan",$201-$400,Western,Wine/Cigar,Steak House,Hotel Restaurant,Sheung Wan,150,Western,Central and Western,114.1491375,22.2863943
135,YUESIN,"20/F,Qualipak Tower, No.122 Connaught RD West, Sheung Wan",$201-$400,International,Herbal Cuisine,Private Kitchen,,Sheung Wan,150,International,Central and Western,114.1441464,22.2882739
136,Po's Atelier,"G/F, 62 Po Hing Fong, Sheung Wan",Below $50,Western,Bakery,Coffee Shop,,Sheung Wan,40,Western,Central and Western,114.148156,22.283828
137,Arome Bakery,"Shop 4, G/F, Golden Centre, 188 Des Voeux Road M, Sheung Wan",Below $50,Western,Bakery,,,Sheung Wan,40,Western,Central and Western,114.1491375,22.2863943
